model;year;price;Transmission;mileage;fuelType;engineSize
HondaCityVXMT;2015;726106;MANUAL;28410;Petrol;1
MarutiVitaraBrezzaZDI;2019;932099;MANUAL;20273;Diesel;1
MarutiWagonR;2008;202999;MANUAL;54572;Petrol;1
VolkswagenVentoHIGHLINE;2013;341799;MANUAL;87834;Diesel;1
MarutiAlto800;2015;223399;MANUAL;33341;Petrol;1
HyundaiSantroXingGL;2011;193780;MANUAL;136543;Petrol + CNG;1
FordFigo1.2ZXI;2010;231199;MANUAL;102644;Petrol;1
MarutiNewWagon-RVXI;2019;473490;DL12;44040;Petrol;1
MarutiWagonR1.0LXI;2012;239499;MANUAL;88691;Petrol + CNG;1
MahindraTharCRDE4X4BS;2019;950499;MANUAL;7961;Diesel;1
MarutiSwiftDzireVDIBS;2012;326199;MANUAL;57730;Diesel;1
MarutiSwiftDzire;2012;384599;MANUAL;72105;Diesel;1
VolkswagenPoloHIGHLINE1.2L;2011;317799;MANUAL;50372;Petrol;1
HondaCityVXMTO;2016;706899;MANUAL;93031;Diesel;1
Hyundaii20ASTA;2012;283400;MANUAL;46121;Petrol;1
HyundaiEonERA;2012;193582;MANUAL;57951;Petrol;1
MarutiAltoK10VXI;2015;310199;MH12;26025;Petrol;1
HondaBrio1.2SMTI;2013;306599;MANUAL;64537;Petrol;1
MarutiIGNISDELTA1.2K12;2017;502199;AUTOMATIC;17424;Petrol;1
VolkswagenVentoHIGHLINE;2010;244349;MANUAL;87793;Petrol;1
MarutiErtiga;2012;380599;MANUAL;81227;Diesel;1
MarutiAlto800;2017;332799;MANUAL;3201;Petrol;1
HyundaiSantroXing;2009;210099;MANUAL;82748;Petrol + LPG;1
HyundaiSantroXingGL;2012;177499;MANUAL;60908;Petrol;1
VolkswagenPoloCOMFORTLINE1.2L;2013;256399;MANUAL;63748;Petrol;1
AudiQ335TDI;2015;1608699;AUTOMATIC;87155;Diesel;1
AudiQ335TDI;2015;1697199;AUTOMATIC;30500;Diesel;1
MarutiEeco5STRCNGWITHAC;2017;399799;MANUAL;72425;Petrol + CNG;1
HyundaiVernaFLUIDIC1.6EXCRDI;2013;377499;AUTOMATIC;119439;Diesel;1
MarutiVitaraBrezza;2016;598699;MANUAL;60027;Diesel;1
FordEcosport1.5TITANIUMTIVCT;2014;544299;AUTOMATIC;71487;Petrol;1
MarutiZenEstilo;2011;214499;MANUAL;31830;Petrol;1
DatsunGo;2014;189299;MANUAL;27123;Petrol;1
MarutiSwift;2012;301899;MANUAL;112723;Diesel;1
HondaAmaze1.2EMTI;2015;371299;MANUAL;45940;Petrol;1
MarutiCelerioZXI;2017;396899;AUTOMATIC;25538;Petrol;1
BMW3Series320D;2012;954099;AUTOMATIC;104921;Diesel;1
Hyundaii10MAGNA1.1;2014;306799;MANUAL;31584;Petrol;1
MarutiWagonR1.0LXI;2015;324899;MANUAL;26141;Petrol + CNG;1
HyundaiCreta1.6SXPLUS;2017;931399;MANUAL;41831;Petrol;1
MarutiAltoK10;2017;322599;MANUAL;19792;Petrol;1
FordEcosport1.5TITANIUMTIVCT;2015;556199;AUTOMATIC;46594;Petrol;1
FordEcosport;2018;733290;TN06;20861;Petrol;1
MarutiSwiftDzireVXI1.2BS;2015;484799;MANUAL;39550;Petrol;1
HondaCityZX1.5;2007;125199;MANUAL;188651;Petrol;1
VolkswagenPoloHIGHLINE1.2L;2016;466699;MANUAL;45500;Petrol;1
MarutiWagonR1.0LXI;2018;479914;MANUAL;28560;Petrol + CNG;1
Hyundaii10MAGNA;2009;149199;MANUAL;72565;Petrol;1
MarutiCelerioVXI;2019;504699;MANUAL;24060;Petrol + CNG;1
Hyundaii20MAGNAO1.4;2014;358999;MANUAL;56549;Diesel;1
Hyundaii20SPORTZ1.2;2014;510299;MANUAL;21100;Petrol;1
Hyundaii20MAGNAO;2012;325999;MANUAL;48219;Petrol;1
Hyundaii10SPORTZ1.2;2013;239599;MANUAL;107693;Petrol;1
MarutiVitaraBrezzaZDIPLUSDUAL;2016;783199;MANUAL;35989;Diesel;1
MarutiRitz;2012;232999;MANUAL;68342;Diesel;1
MarutiRitz;2010;279799;MANUAL;104928;Diesel;1
SkodaSuperbELEGANCE1.8TSI;2012;433399;AUTOMATIC;84474;Petrol;1
MarutiSwiftLXI;2016;470799;MANUAL;61191;Petrol;1
HyundaiSantroXingXLERLXEURO;2007;104289;MANUAL;124360;Petrol;1
HyundaiGrandi10ASTA1.1(O);2014;391199;MANUAL;64460;Diesel;1
HyundaiGrandi10MAGNA1.2;2015;372099;MANUAL;49341;Petrol;1
HondaCityVMT;2015;657599;MANUAL;65099;Petrol;1
Hyundaii10MAGNA1.1;2012;279599;MANUAL;87828;Petrol + LPG;1
HyundaiElitei20SPORTZ;2017;637199;MANUAL;46056;Diesel;1
AudiA62.0;2013;1319868;AUTOMATIC;176188;Diesel;1
Hyundaii10MAGNA1.2;2011;296899;MANUAL;63546;Petrol;1
Hyundaii10MAGNA1.1;2015;330699;MANUAL;26939;Petrol;1
HyundaiCreta1.6E+;2017;801499;MANUAL;26151;Petrol;1
RenaultDuster85PS;2015;484699;MANUAL;67407;Diesel;1
MarutiOMNIE8;2014;172399;RJ14;40141;Petrol;1
MarutiSwift;2018;556363;MANUAL;11784;Petrol;1
MarutiWagonR1.0LXI;2013;301599;MANUAL;121435;Petrol + CNG;1
Hyundaii20MAGNA1.2;2009;275099;MANUAL;82682;Petrol;1
HyundaiEonDLITE;2013;237899;MANUAL;27748;Petrol;1
MarutiWagonR1.0;2010;248899;MANUAL;70903;Petrol + CNG;1
MarutiSwiftDzireVXI1.2BS;2015;538199;MANUAL;78713;Petrol;1
MarutiSwiftDzireVXI1.2BS;2013;495899;MANUAL;56518;Petrol;1
Hyundaii20MAGNA1.2;2009;168099;MANUAL;119575;Petrol;1
MarutiCelerio;2019;479500;MANUAL;10412;Petrol;1
HondaAmaze1.2EXMTI;2014;330799;MANUAL;71800;Petrol;1
HyundaiSantroXingGL;2011;263299;MANUAL;49419;Petrol;1
FordFigo1.4EXI;2013;177499;MANUAL;109104;Diesel;1
HyundaiEonERA;2018;338999;MANUAL;3308;Petrol;1
MarutiWagonR1.0LXI;2015;322321;MANUAL;43781;Petrol + CNG;1
MarutiRitzVXIBS;2013;420299;MANUAL;34146;Petrol;1
MarutiCiazZXI;2015;473899;MANUAL;107589;Petrol;1
HyundaiElitei20ASTA1.4;2015;561299;MANUAL;79445;Diesel;1
HyundaiElitei20SPORTZ;2017;728166;MANUAL;32307;Diesel;1
ChevroletBeatPS;2012;144097;MANUAL;98452;Diesel;1
MarutiAltoK10;2012;255299;MANUAL;38617;Petrol;1
HondaCitySMT;2009;259899;MANUAL;99003;Petrol;1
MarutiSwiftVDI;2015;390399;MANUAL;92527;Diesel;1
HyundaiElitei20MAGNA1.4;2014;514299;MANUAL;169453;Diesel;1
MarutiAlto;2010;174699;MANUAL;34854;Petrol;1
HondaBrio1.2VXMTI;2013;266099;MANUAL;65667;Petrol;1
ToyotaInnova2.5VX8STRBS;2014;926599;MANUAL;143740;Diesel;1
MarutiCiazDELTA1.5SHVS;2018;737299;GJ27;23999;Petrol;1
Hyundaii10MAGNA;2009;180599;MANUAL;89576;Petrol;1
ToyotaCorollaAltisD4D;2011;464899;MANUAL;137352;Diesel;1
MarutiErtiga;2015;530899;MANUAL;98137;Petrol + CNG;1
HyundaiGrandi10Sportz1.2;2017;486299;MANUAL;41100;Diesel;1
MarutiWagonR1.0LXI;2014;346799;MANUAL;56607;Petrol + CNG;1
MarutiSX4ZXIMTLEATHERBS;2008;131199;MANUAL;150248;Petrol;1
HyundaiEonERA;2014;204799;MANUAL;83546;Petrol;1
ToyotaEtiosLiva;2011;274499;MANUAL;21763;Petrol;1
MarutiSwiftDzireLDIBS;2013;305199;MANUAL;122165;Diesel;1
MarutiSwiftDzireVDIBS;2012;352499;MANUAL;46299;Diesel;1
MarutiWagonR1.0;2013;318079;MANUAL;18325;Petrol;1
SkodaRapid1.6TDIMT;2012;427799;MANUAL;63473;Diesel;1
Hyundaii10;2007;228099;MANUAL;79620;Petrol;1
ToyotaFortuner3.0MT;2012;1045599;MANUAL;96301;Diesel;1
VolkswagenPoloTRENDLINE1.2L;2012;256099;MANUAL;42069;Petrol;1
MarutiCelerioVXI;2016;362199;MANUAL;123057;Petrol + CNG;1
HyundaiGrandi10MAGNA1.2KAPPA;2016;413899;MANUAL;34558;Petrol;1
MarutiOMNIE8;2015;168699;RJ14;147413;Petrol + LPG;1
MarutiWagonR1.0;2012;267599;MANUAL;32808;Petrol;1
BMW5Series;2008;551681;AUTOMATIC;94020;Petrol;1
MarutiSwiftDzireVDIBS;2012;316838;MANUAL;75435;Diesel;1
HondaCityVMT;2013;478699;MANUAL;40028;Petrol;1
MarutiSX4;2008;187199;MANUAL;9961;Petrol;1
FordEcosport1.5TITANIUMTDCI;2014;440099;MANUAL;151247;Diesel;1
MarutiBalenoDELTADDIS;2016;571599;MANUAL;63898;Diesel;1
HondaCityVMT;2012;369099;MANUAL;74017;Petrol;1
MarutiBalenoALPHA1.2;2015;524399;MANUAL;76914;Petrol;1
MarutiCelerioVXI;2019;535599;MANUAL;9878;Petrol + CNG;1
Hyundaii20MAGNA1.2;2009;218799;MANUAL;86164;Petrol;1
MarutiRitz;2015;344399;MANUAL;64475;Diesel;1
MarutiAltoK10;2018;322699;MANUAL;8604;Petrol;1
MarutiRitz;2013;271299;MANUAL;54237;Diesel;1
FordFigo1.4EXI;2014;176499;MANUAL;108709;Diesel;1
MarutiSwiftVDI;2015;373299;MANUAL;154513;Diesel;1
HyundaiGrandi10MAGNA1.2KAPPA;2015;383399;MANUAL;35915;Petrol;1
ToyotaCorollaAltis1.8;2009;227099;DL4C;91612;Petrol + CNG;1
TataTIAGOJTP;2019;603340;TN22;14039;Petrol;1
Hyundaii20MAGNA1.2;2010;171699;MANUAL;222973;Petrol;1
MarutiSwiftVXI;2009;213413;MANUAL;79169;Petrol;1
MarutiSwiftDzireLXI1.2BS;2011;327699;MANUAL;59387;Petrol;1
Hyundaii20SPORTZ1.2;2010;253199;MANUAL;74934;Petrol;1
HyundaiVernaFLUIDIC1.6SX;2014;498099;MANUAL;120745;Diesel;1
MarutiWagonR1.0;2011;199599;MANUAL;65611;Petrol;1
HondaCityVMT;2013;423299;MANUAL;136859;Petrol;1
MarutiBalenoALPHADDIS;2016;630780;MANUAL;69278;Diesel;1
MarutiWagonR1.0;2015;320699;MANUAL;70993;Petrol;1
FordFigo1.2TITANIUM;2010;141599;MANUAL;49821;Petrol;1
RenaultKwid;2019;335999;MANUAL;14665;Petrol;1
MarutiBalenoZETA1.2;2017;665315;MANUAL;20333;Petrol;1
Hyundaii20ASTA;2014;500599;MANUAL;56580;Petrol;1
HondaAmaze1.5SMTI;2013;256399;MANUAL;125008;Diesel;1
MarutiSwiftDzireVDIBS;2012;418499;MANUAL;107099;Diesel;1
MarutiBalenoDELTA1.2;2015;453299;MANUAL;90025;Petrol;1
ToyotaEtiosLiva;2012;344599;MANUAL;89919;Diesel;1
MarutiSwiftDzireVDIBS;2013;449999;MANUAL;42679;Diesel;1
